seconds,RX data rate,TX data rate,disk writes,available disk capacity
0,154.41,121.64,432.91,18659
5,.15,.15,432.89,18659
10,.43,51.92,432.86,18659
15,0,0,432.84,18659
20,0,51.63,432.82,18659
25,.05,.04,432.80,18659
30,0,51.63,432.78,18659
35,0,0,432.76,18659
40,0,51.63,432.73,18659
45,0,0,432.71,18659
50,.08,39.82,432.69,18659
55,.11,55.80,432.67,18607
60,.15,39.83,432.65,18414
65,0,55.71,432.86,18415
70,0,0,435.59,18159
75,0,39.74,435.57,18159
80,0,0,435.55,18159
85,0,39.74,438.56,17647
90,.21,.13,438.53,17647
95,0,39.74,439.87,17647
100,0,0,440.57,17647
105,0,21.01,441.89,16619
110,0,0,442.65,16623
115,.15,21.10,442.90,16623
120,.26,77.82,444.56,16623
125,0,0,445.39,16623
130,.08,56.76,445.37,16623
135,0,21.01,446.10,16623
140,0,0,448.13,16623
145,.26,21.01,448.11,16623
150,.05,.04,448.88,16623
155,0,21.01,450.88,16623
160,0,0,450.86,14567
165,0,21.01,451.70,14567
170,.15,.09,454.20,14575
175,.05,39.48,454.18,14575
180,0,58.67,454.63,14575
185,0,39.44,455.08,14575
190,.05,58.71,457.16,14575
195,0,39.44,457.14,14575
200,0,0,459.41,14575
205,0,39.44,459.38,14575
210,.05,.04,461.72,14575
215,0,39.44,461.69,14575
220,0,0,462.18,14575
225,.15,39.53,464.09,14575
230,.11,.08,464.07,14575
235,0,16.48,466.72,14575
240,0,53.00,466.69,14575
245,0,16.48,467.22,14575
250,.23,53.04,469.25,14575
255,0,16.48,469.65,14575
260,0,0,469.63,14575
265,0,16.48,470.87,10462
270,.05,.04,472.82,10478
275,0,16.48,472.79,10478
280,.27,.09,475.42,10478
285,.05,31.23,475.40,10478
290,9.28,2.46,475.37,10478
295,0,31.19,476.77,10478
300,.05,.04,478.53,10478
305,0,85.72,478.50,10478
310,0,0,479.18,10478
315,0,31.19,481.02,10478
320,.05,.04,481.66,10478
325,0,31.19,483.54,10478
330,0,0,483.51,10478
335,.15,31.28,484.12,10478
340,.05,.04,486.11,10478
345,0,31.19,486.09,10478
350,0,0,488.72,10478
355,.41,53.86,488.69,10478
360,.05,49.53,489.30,10478
365,0,53.78,491.26,10478
370,.24,49.66,491.23,10478
375,0,0,491.84,10478
380,0,49.48,494.41,10478
385,0,0,494.39,10478
390,.15,49.58,494.67,10478
395,.05,.04,496.92,10478
400,0,49.48,496.89,10478
405,0,0,497.26,10478
410,0,29.02,499.78,10478
415,.05,.04,499.76,10478
420,0,79.08,502.00,10478
425,0,0,501.97,10478
430,0,79.08,502.99,10478
435,.05,.04,504.09,10478
440,0,29.02,504.49,10478
445,.15,.09,506.50,10478
450,.17,29.06,506.48,10478
455,0,0,506.92,10478
460,0,29.02,508.89,10478
465,0,0,509.37,10478
470,.17,29.02,511.28,10222
475,0,0,511.26,10222
480,.05,90.58,511.78,10223
485,.17,.04,514.24,9711
490,0,90.56,514.22,9711
495,.17,0,514.74,9711
500,.23,29.00,516.51,9711
505,.15,.09,516.99,9711
510,.23,29.04,518.97,8687
515,0,0,518.94,8687
520,.05,29.00,521.09,8687
525,.11,0,521.06,8687
530,0,29.00,523.32,8687
535,.23,.04,523.30,8687
540,0,29.00,523.78,8687
545,0,61.53,525.55,8687
550,.17,44.44,525.52,8687
555,0,61.53,526.60,8687
560,.27,44.53,528.53,6631
565,.11,.04,528.51,6631
570,0,0,529.43,6639
575,0,44.44,530.66,6639
580,0,0,531.82,6639
585,0,44.44,532.31,6639
590,0,0,534.24,6639
595,.08,44.53,534.22,6639
600,.05,.04,536.59,6639
605,0,107.53,536.56,6639
610,.08,.08,537.13,6639
615,.21,107.75,539.03,6639
620,.11,0,539.79,6639
625,0,44.52,540.58,6639
630,0,0,541.26,6639
635,0,44.52,542.94,6639
640,0,0,542.92,6639
645,.15,44.61,545.25,6639
650,0,0,545.23,6639
655,0,44.52,545.87,6639
660,0,0,547.87,6639
665,0,44.52,547.85,2526
670,.38,57.84,548.49,2533
675,.29,48.41,549.13,2533
680,.29,57.75,550.96,2533
685,.35,48.37,551.60,2533
690,.29,0,553.36,2533
695,.29,48.37,553.33,2533
700,.29,0,553.97,2533
705,.29,48.37,555.80,2533
710,.35,.04,555.77,2533
715,.35,0,556.41,2533
720,.29,48.37,558.67,2533
725,.29,0,558.83,2533
730,.50,109.95,559.47,2533
735,.35,0,561.16,2533
740,.29,109.81,561.80,2533
745,.29,0,563.56,2533
750,0,63.73,563.54,2533
755,.05,.04,565.85,2540
760,0,63.73,565.82,2540
765,0,0,566.50,2540
770,0,63.73,568.28,2540
775,0,0,568.25,2540
780,.05,63.73,568.97,2540
785,.21,.09,568.94,18659
790,.05,63.77,568.91,18659
795,0,62.15,568.87,18659
800,0,61.93,568.84,18659
805,0,0,568.81,18659
810,0,61.93,568.78,18659
815,.05,.04,568.75,18659
820,0,61.93,568.72,18659
825,0,0,568.69,18659
830,0,61.93,568.66,18659
835,.33,62.20,568.62,18659
840,.05,.04,568.59,18659
845,0,114.13,568.56,18659
850,0,0,568.53,18659
855,0,61.93,568.50,18659
860,.05,.04,568.47,18659
865,0,61.93,568.43,18659
870,0,0,568.41,18659
875,0,29.43,568.38,18659
880,0,0,568.35,18659
885,0,29.43,568.32,18659
890,.15,63.58,568.29,18659
895,.05,29.47,568.25,18659
900,0,0,568.22,18659
